#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000        1.000000      -11.612127      -13.024153        9.024332      -13.024153        0.000000
         1.000000        2.000000      -11.455870      -12.819646        9.027141      -12.819646        0.000000
         1.000000        3.000000      -11.267571      -12.549684        8.973757      -12.549684        0.000000
         1.000000        4.000000      -11.082862      -12.466913        8.915500      -12.466913        0.000000
         1.000000        5.000000      -10.996941      -12.437810        8.875874      -12.437810        0.000000
         1.000000        6.000000      -10.920732      -12.262340        8.897055      -12.262340        0.000000
         1.000000        7.000000      -10.902285      -12.276453        8.896577      -12.276453        0.000000
         1.000000        8.000000      -10.856377      -12.168576        8.924868      -12.168576        0.000000
         1.000000        9.000000      -10.797551      -12.192791        8.843687      -12.192791        0.000000
         1.000000       10.000000      -10.787194      -12.135922        8.877923      -12.135922        0.000000
         1.000000       11.000000      -10.664324      -12.039132        8.835134      -12.039132        0.000000
         1.000000       12.000000      -10.613048      -11.833840        8.962103      -11.833840        0.000000
         1.000000       13.000000      -10.555928      -11.864573        8.867602      -11.864573        0.000000
         1.000000       14.000000      -10.424948      -11.724510        8.848534      -11.724510        0.000000
         1.000000       15.000000      -10.397012      -11.753245        8.790694      -11.753245        0.000000
         1.000000       16.000000      -10.369103      -11.704386        8.806687      -11.704386        0.000000
         1.000000       17.000000      -10.332328      -11.633528        8.809727      -11.633528        0.000000
         1.000000       18.000000      -10.252710      -11.568954        8.767558      -11.568954        0.000000
         1.000000       19.000000      -10.166463      -11.447846        8.799720      -11.447846        0.000000
         1.000000       20.000000      -10.140921      -11.495684        8.738947      -11.495684        0.000000
         1.000000       21.000000      -10.116713      -11.418799        8.795987      -11.418799        0.000000
         1.000000       22.000000      -10.110248      -11.260073        8.869847      -11.260073        0.000000
         1.000000       23.000000      -10.029570      -11.298899        8.796153      -11.298899        0.000000
         1.000000       24.000000       -9.995172      -11.343593        8.719225      -11.343593        0.000000
         1.000000       25.000000       -9.951291      -11.236155        8.756121      -11.236155        0.000000
         1.000000       26.000000       -9.907671      -11.182998        8.768880      -11.182998        0.000000
         1.000000       27.000000       -9.828761      -11.099418        8.730873      -11.099418        0.000000
         1.000000       28.000000       -9.745414      -11.061098        8.713859      -11.061098        0.000000
         1.000000       29.000000       -9.688626      -10.965954        8.736860      -10.965954        0.000000
         1.000000       30.000000       -9.636279      -10.894249        8.725599      -10.894249        0.000000
         1.000000       31.000000       -9.615345      -10.908520        8.680128      -10.908520        0.000000
