#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000       33.000000       -1.387025       -1.977210        4.932093       -1.733495        0.243715
         1.000000       34.000000       -1.387011       -1.976085        4.932255       -1.733283        0.242802
         1.000000       35.000000       -1.386992       -1.982643        4.933719       -1.734058        0.248585
         1.000000       36.000000       -1.386987       -1.979739        4.932984       -1.733744        0.245996
         1.000000       37.000000       -1.386982       -1.985593        4.934216       -1.734457        0.251136
         1.000000       38.000000       -1.386964       -1.989077        4.936558       -1.734251        0.254826
         1.000000       39.000000       -1.386959       -1.983227        4.933411       -1.734183        0.249044
         1.000000       40.000000       -1.386933       -1.988659        4.935950       -1.734351        0.254308
         1.000000       41.000000       -1.386916       -1.978718        4.931835       -1.733981        0.244737
         1.000000       42.000000       -0.707141       -1.193595        4.238370       -1.229384       -0.035789
         1.000000       43.000000       -0.707114       -1.189589        4.240538       -1.226785       -0.037197
         1.000000       44.000000       -0.707108       -1.188009        4.234293       -1.232326       -0.044317
         1.000000       45.000000       -0.707104       -1.188788        4.233866       -1.232829       -0.044041
         1.000000       46.000000        0.785239        0.086626        3.797545        0.378908        0.292282
         1.000000       47.000000        0.785253        0.084285        3.824114        0.388361        0.304076
         1.000000       48.000000        0.785262        0.085500        3.797617        0.378615        0.293115
         1.000000       49.000000        0.785276        0.084410        3.818258        0.386087        0.301678
         1.000000       50.000000        0.785284        0.081961        3.824828        0.388091        0.306130
         1.000000       51.000000        0.785291        0.089354        3.795947        0.378824        0.289470
         1.000000       52.000000        0.785299        0.096424        3.784798        0.376114        0.279690
         1.000000       53.000000        0.785317        0.081671        3.824518        0.387845        0.306174
         1.000000       54.000000        0.785321        0.081466        3.824643        0.387866        0.306399
         1.000000       55.000000        0.785340        0.085599        3.796726        0.378178        0.292578
         1.000000       56.000000        0.785341        0.088083        3.796098        0.378544        0.290462
         1.000000       57.000000        0.785347        0.094981        3.785267        0.376017        0.281036
         1.000000       58.000000        2.410424        1.884568        2.475538        1.875914       -0.008655
         1.000000       59.000000        2.410432        1.884783        2.476173        1.876474       -0.008310
         1.000000       60.000000        2.410446        1.884120        2.475289        1.875643       -0.008476
         1.000000       61.000000        2.410461        1.883675        2.475278        1.875558       -0.008118
         1.000000       62.000000        2.410465        1.884106        2.475513        1.875840       -0.008266
         1.000000       63.000000        2.410471        1.883990        2.475229        1.875595       -0.008394
         1.000000       64.000000        2.410478        1.883824        2.475410        1.875712       -0.008112
         1.000000       65.000000        2.410483        1.883964        2.475386        1.875727       -0.008238
         1.000000       66.000000        2.410488        1.884159        2.475727        1.876047       -0.008113
         1.000000       67.000000        2.410502        1.883902        2.475770        1.876041       -0.007861
         1.000000       68.000000        2.410515        1.883996        2.475722        1.876029       -0.007967
         1.000000       69.000000        2.410519        1.883756        2.474908        1.875339       -0.008417
         1.000000       70.000000        2.510188        1.846046        2.466467        2.005603        0.159557
         1.000000       71.000000        2.510197        1.845207        2.466752        2.005562        0.160355
         1.000000       72.000000        2.510201        1.845210        2.466547        2.005379        0.160169
         1.000000       73.000000        2.510206        1.845127        2.466570        2.005399        0.160272
         1.000000       74.000000        2.510220        1.845935        2.466299        2.005480        0.159546
         1.000000       75.000000        2.510227        1.844412        2.466263        2.005007        0.160595
         1.000000       76.000000        2.510238        1.844728        2.466497        2.005296        0.160567
         1.000000       77.000000        2.510247        1.844673        2.466332        2.005161        0.160488
         1.000000       78.000000        2.510256        1.844954        2.466427        2.005303        0.160349
         1.000000       79.000000        2.510260        1.843953        2.465757        2.004581        0.160628
         1.000000       80.000000        2.510265        1.845114        2.466392        2.005290        0.160176
         1.000000       81.000000        2.510282        1.844625        2.466210        2.005080        0.160455
         1.000000       82.000000        2.748943        2.241299        2.599058        2.258563        0.017264
         1.000000       83.000000        2.748952        2.240778        2.600282        2.259356        0.018578
         1.000000       84.000000        2.748960        2.241223        2.599143        2.258625        0.017403
         1.000000       85.000000        2.748970        2.240809        2.599708        2.258951        0.018143
         1.000000       86.000000        2.748981        2.241222        2.598997        2.258531        0.017309
         1.000000       87.000000        2.748992        2.240539        2.599788        2.258964        0.018425
         1.000000       88.000000        3.417823        2.913370        2.325381        2.878694       -0.034676
         1.000000       89.000000        3.417836        2.913131        2.325136        2.878463       -0.034667
         1.000000       90.000000        3.417845        2.913050        2.325075        2.878406       -0.034645
         1.000000       91.000000        3.417856        2.912746        2.324742        2.878085       -0.034661
         1.000000       92.000000        3.417859        2.912950        2.324948        2.878295       -0.034655
         1.000000       93.000000        3.417871        2.912609        2.324613        2.877969       -0.034640
         1.000000       94.000000        4.378937        3.914356        1.848099        3.919296        0.004940
         1.000000       95.000000        4.378948        3.914274        1.848005        3.919212        0.004938
         1.000000       96.000000        4.378965        3.914097        1.847800        3.919031        0.004934
         1.000000       97.000000        4.378974        3.914218        1.847915        3.919155        0.004937
         1.000000       98.000000        4.378989        3.914276        1.847957        3.919214        0.004937
         1.000000       99.000000        4.378994        3.914100        1.847767        3.919034        0.004935
         1.000000      100.000000        4.379001        3.914127        1.847794        3.919061        0.004934
         1.000000      101.000000        4.379003        3.914190        1.847852        3.919127        0.004936
         1.000000      102.000000        4.379014        3.914196        1.847839        3.919131        0.004935
         1.000000      103.000000        4.379033        3.913882        1.847500        3.918812        0.004930
         1.000000      104.000000        4.379052        3.914144        1.847744        3.919078        0.004934
         1.000000      105.000000        4.379058        3.913895        1.847480        3.918824        0.004929
         1.000000      106.000000        4.943559        4.464868        1.723858        4.471549        0.006680
         1.000000      107.000000        4.943579        4.464787        1.723755        4.471466        0.006679
         1.000000      108.000000        4.943603        4.464501        1.723425        4.471176        0.006675
         1.000000      109.000000        4.943614        4.464301        1.723210        4.470972        0.006671
         1.000000      110.000000        4.943616        4.464063        1.722957        4.470730        0.006667
         1.000000      111.000000        4.943633        4.464539        1.723431        4.471214        0.006675
         1.000000      112.000000        4.943636        4.464102        1.722978        4.470769        0.006667
         1.000000      113.000000        4.943640        4.464623        1.723509        4.471298        0.006675
