#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000       33.000000       -1.387025       -1.733495        4.950360       -1.582314        0.151182
         1.000000       34.000000       -1.387011       -1.733283        4.950813       -1.581578        0.151705
         1.000000       35.000000       -1.386992       -1.734058        4.950642       -1.583042        0.151017
         1.000000       36.000000       -1.386987       -1.733744        4.950826       -1.582139        0.151604
         1.000000       37.000000       -1.386982       -1.734457        4.950577       -1.583548        0.150909
         1.000000       38.000000       -1.386964       -1.734251        4.950696       -1.584951        0.149300
         1.000000       39.000000       -1.386959       -1.734183        4.950415       -1.583200        0.150983
         1.000000       40.000000       -1.386933       -1.734351        4.950590       -1.584687        0.149664
         1.000000       41.000000       -1.386916       -1.733981        4.950177       -1.582327        0.151654
         1.000000       42.000000       -0.707141       -1.229384        4.295929       -1.229384        0.000000
         1.000000       43.000000       -0.707114       -1.226785        4.293431       -1.226785        0.000000
         1.000000       44.000000       -0.707108       -1.232326        4.294551       -1.232326        0.000000
         1.000000       45.000000       -0.707104       -1.232829        4.295039       -1.232829        0.000000
         1.000000       46.000000        0.785239        0.378908        3.553425        0.324100       -0.054808
         1.000000       47.000000        0.785253        0.388361        3.541881        0.325314       -0.063047
         1.000000       48.000000        0.785262        0.378615        3.553330        0.323877       -0.054738
         1.000000       49.000000        0.785276        0.386087        3.550516        0.327477       -0.058610
         1.000000       50.000000        0.785284        0.388091        3.550341        0.328619       -0.059473
         1.000000       51.000000        0.785291        0.378824        3.552837        0.323913       -0.054910
         1.000000       52.000000        0.785299        0.376114        3.553696        0.322756       -0.053358
         1.000000       53.000000        0.785317        0.387845        3.550171        0.328419       -0.059426
         1.000000       54.000000        0.785321        0.387866        3.550174        0.328425       -0.059441
         1.000000       55.000000        0.785340        0.378178        3.552697        0.323405       -0.054773
         1.000000       56.000000        0.785341        0.378544        3.552794        0.323732       -0.054812
         1.000000       57.000000        0.785347        0.376017        3.553710        0.322688       -0.053329
         1.000000       58.000000        2.410424        1.875914        2.478864        1.875914        0.000000
         1.000000       59.000000        2.410432        1.876474        2.479400        1.876474        0.000000
         1.000000       60.000000        2.410446        1.875643        2.478563        1.875643        0.000000
         1.000000       61.000000        2.410461        1.875558        2.478450        1.875558        0.000000
         1.000000       62.000000        2.410465        1.875840        2.478727        1.875840        0.000000
         1.000000       63.000000        2.410471        1.875595        2.478480        1.875595        0.000000
         1.000000       64.000000        2.410478        1.875712        2.478580        1.875712        0.000000
         1.000000       65.000000        2.410483        1.875727        2.478593        1.875727        0.000000
         1.000000       66.000000        2.410488        1.876047        2.478897        1.876047        0.000000
         1.000000       67.000000        2.410502        1.876041        2.478868        1.876041        0.000000
         1.000000       68.000000        2.410515        1.876029        2.478850        1.876029        0.000000
         1.000000       69.000000        2.410519        1.875339        2.478165        1.875339        0.000000
         1.000000       70.000000        2.510188        2.005603        2.463572        2.053862        0.048259
         1.000000       71.000000        2.510197        2.005562        2.463041        2.053117        0.047554
         1.000000       72.000000        2.510201        2.005379        2.462859        2.052944        0.047565
         1.000000       73.000000        2.510206        2.005399        2.462849        2.052931        0.047532
         1.000000       74.000000        2.510220        2.005480        2.463407        2.053737        0.048257
         1.000000       75.000000        2.510227        2.005007        2.462320        2.052364        0.047357
         1.000000       76.000000        2.510238        2.005296        2.462604        2.052686        0.047391
         1.000000       77.000000        2.510247        2.005161        2.462522        2.052633        0.047472
         1.000000       78.000000        2.510256        2.005303        2.462651        2.052785        0.047482
         1.000000       79.000000        2.510260        2.004581        2.461941        2.052070        0.047488
         1.000000       80.000000        2.510265        2.005290        2.462638        2.052777        0.047488
         1.000000       81.000000        2.510282        2.005080        2.462388        2.052537        0.047457
         1.000000       82.000000        2.748943        2.258563        2.593248        2.258563        0.000000
         1.000000       83.000000        2.748952        2.259356        2.594072        2.259356        0.000000
         1.000000       84.000000        2.748960        2.258625        2.593291        2.258625        0.000000
         1.000000       85.000000        2.748970        2.258951        2.593631        2.258951        0.000000
         1.000000       86.000000        2.748981        2.258531        2.593174        2.258531        0.000000
         1.000000       87.000000        2.748992        2.258964        2.593625        2.258964        0.000000
         1.000000       88.000000        3.417823        2.878694        2.337530        2.878694        0.000000
         1.000000       89.000000        3.417836        2.878463        2.337282        2.878463        0.000000
         1.000000       90.000000        3.417845        2.878406        2.337215        2.878406        0.000000
         1.000000       91.000000        3.417856        2.878085        2.336890        2.878085        0.000000
         1.000000       92.000000        3.417859        2.878295        2.337093        2.878295        0.000000
         1.000000       93.000000        3.417871        2.877969        2.336755        2.877969        0.000000
         1.000000       94.000000        4.378937        3.919296        1.844947        3.919296        0.000000
         1.000000       95.000000        4.378948        3.919212        1.844854        3.919212        0.000000
         1.000000       96.000000        4.378965        3.919031        1.844649        3.919031        0.000000
         1.000000       97.000000        4.378974        3.919155        1.844764        3.919155        0.000000
         1.000000       98.000000        4.378989        3.919214        1.844806        3.919214        0.000000
         1.000000       99.000000        4.378994        3.919034        1.844617        3.919034        0.000000
         1.000000      100.000000        4.379001        3.919061        1.844644        3.919061        0.000000
         1.000000      101.000000        4.379003        3.919127        1.844700        3.919127        0.000000
         1.000000      102.000000        4.379014        3.919131        1.844688        3.919131        0.000000
         1.000000      103.000000        4.379033        3.918812        1.844351        3.918812        0.000000
         1.000000      104.000000        4.379052        3.919078        1.844594        3.919078        0.000000
         1.000000      105.000000        4.379058        3.918824        1.844332        3.918824        0.000000
         1.000000      106.000000        4.943559        4.471549        1.721855        4.471549        0.000000
         1.000000      107.000000        4.943579        4.471466        1.721753        4.471466        0.000000
         1.000000      108.000000        4.943603        4.471176        1.721424        4.471176        0.000000
         1.000000      109.000000        4.943614        4.470972        1.721210        4.470972        0.000000
         1.000000      110.000000        4.943616        4.470730        1.720959        4.470730        0.000000
         1.000000      111.000000        4.943633        4.471214        1.721431        4.471214        0.000000
         1.000000      112.000000        4.943636        4.470769        1.720980        4.470769        0.000000
         1.000000      113.000000        4.943640        4.471298        1.721509        4.471298        0.000000
         1.000000      114.000000        4.943649        4.470934        1.721132        4.470934        0.000000
         1.000000      115.000000        4.943670        4.470758        1.720933        4.470758        0.000000
         1.000000      116.000000        4.943685        4.471079        1.721234        4.471079        0.000000
         1.000000      117.000000        4.943692        4.470693        1.720841        4.470693        0.000000
         1.000000      118.000000        5.074025        4.593782        1.726235        4.593782        0.000000
         1.000000      119.000000        5.074036        4.593613        1.726056        4.593613        0.000000
         1.000000      120.000000        5.074043        4.593847        1.726274        4.593847        0.000000
         1.000000      121.000000        5.074067        4.593579        1.725984        4.593579        0.000000
         1.000000      122.000000        5.074072        4.593592        1.725992        4.593592        0.000000
         1.000000      123.000000        5.074101        4.593727        1.726091        4.593727        0.000000
         1.000000      124.000000        5.074107        4.593254        1.725613        4.593254        0.000000
         1.000000      125.000000        5.074134        4.593320        1.725649        4.593320        0.000000
         1.000000      126.000000        6.270341        5.839985        1.280381        5.839985        0.000000
         1.000000      127.000000        6.270345        5.839993        1.280386        5.839993        0.000000
         1.000000      128.000000        6.270355        5.839879        1.280256        5.839879        0.000000
         1.000000      129.000000        6.943715        7.219389       -3.513271        7.219389        0.000000
         1.000000      130.000000        6.943725        7.219629       -3.513045        7.219629        0.000000
         1.000000      131.000000        6.943749        7.219640       -3.513062        7.219640        0.000000
         1.000000      132.000000        6.943756        7.220163       -3.512548        7.220163        0.000000
         1.000000      133.000000        6.943759        7.219428       -3.513287        7.219428        0.000000
         1.000000      134.000000        6.943762        7.219778       -3.512944        7.219778        0.000000
         1.000000      135.000000        7.371397        7.681487       -3.606963        7.681487        0.000000
         1.000000      136.000000        7.371404        7.681065       -3.607394        7.681065        0.000000
         1.000000      137.000000        7.371410        7.681528       -3.606934        7.681528        0.000000
         1.000000      138.000000        7.371431        7.680018       -3.608465        7.680018        0.000000
         1.000000      139.000000        7.371433        7.680554       -3.607931        7.680554        0.000000
         1.000000      140.000000        7.371438        7.679082       -3.609407        7.679082        0.000000
         1.000000      141.000000        7.775745        8.139781       -3.846644        8.139781        0.000000
         1.000000      142.000000        7.775750        8.139550       -3.846879        8.139550        0.000000
         1.000000      143.000000        7.775758        8.139173       -3.847266        8.139173        0.000000
         1.000000      144.000000        7.775782        8.138094       -3.848051        8.138094        0.000000
         1.000000      145.000000        8.686194        9.045962       -4.004092        9.045962        0.000000
         1.000000      146.000000        8.686201        9.045611       -4.004385        9.045611        0.000000
         1.000000      147.000000        8.686201        9.045892       -4.004158        9.045892        0.000000
         1.000000      148.000000        8.686218        9.045671       -4.004367        9.045671        0.000000
         1.000000      149.000000        8.686222        9.045239       -4.004688        9.045239        0.000000
         1.000000      150.000000        8.686224        9.045655       -4.004406        9.045655        0.000000
         1.000000      151.000000        8.686235        9.044379       -4.005431        9.044379        0.000000
         1.000000      152.000000        8.686241        9.044082       -4.004660        9.044082        0.000000
         1.000000      153.000000        8.686244        9.044414       -4.005475        9.044414        0.000000
         1.000000      154.000000        8.686263        9.043676       -4.004949        9.043676        0.000000
         1.000000      155.000000        8.686267        9.043573       -4.005097        9.043573        0.000000
         1.000000      156.000000        8.686282        9.041426       -4.006912        9.041426        0.000000
         1.000000      157.000000        8.810982        9.190177       -3.998232        9.190177        0.000000
         1.000000      158.000000        8.810987        9.189676       -3.998740        9.189676        0.000000
         1.000000      159.000000        8.810988        9.190346       -3.998072        9.190346        0.000000
         1.000000      160.000000        9.361942        9.697016       -4.166545        9.697016        0.000000
         1.000000      161.000000        9.361945        9.696697       -4.166861        9.696697        0.000000
         1.000000      162.000000        9.361946        9.697391       -4.166166        9.697391        0.000000
         1.000000      163.000000        9.361960        9.695061       -4.168518        9.695061        0.000000
         1.000000      164.000000        9.361960        9.696482       -4.167088        9.696482        0.000000
         1.000000      165.000000        9.361968        9.695053       -4.168531        9.695053        0.000000
         1.000000      166.000000        9.574620        9.997179       -4.187687        9.997179        0.000000
         1.000000      167.000000        9.574626        9.997272       -4.187603        9.997272        0.000000
         1.000000      168.000000        9.574627        9.997117       -4.187761        9.997117        0.000000
         1.000000      169.000000        9.574639        9.996513       -4.188663        9.996513        0.000000
         1.000000      170.000000        9.574643        9.996497       -4.188687        9.996497        0.000000
         1.000000      171.000000        9.574645        9.995883       -4.189298        9.995883        0.000000
         1.000000      172.000000        9.574664        9.995140       -4.190048        9.995140        0.000000
         1.000000      173.000000        9.574671        9.994723       -4.190472        9.994723        0.000000
         1.000000      174.000000        9.601811       10.037209       -4.558169       10.034274       -0.002936
