#             iks              ib         Eks[eV]         Ein[eV]      Sc_Ein[eV]        Eout[eV]       Diff.[eV]
         1.000000       33.000000       -1.387025       -1.678141        4.847821       -1.685858       -0.007717
         1.000000       34.000000       -1.387011       -1.677807        4.848152       -1.685517       -0.007710
         1.000000       35.000000       -1.386992       -1.678401        4.847978       -1.685902       -0.007502
         1.000000       36.000000       -1.386987       -1.678054        4.847908       -1.685755       -0.007701
         1.000000       37.000000       -1.386982       -1.678661        4.847850       -1.686100       -0.007439
         1.000000       38.000000       -1.386964       -1.678834        4.848106       -1.686022       -0.007188
         1.000000       39.000000       -1.386959       -1.678519        4.847708       -1.686076       -0.007557
         1.000000       40.000000       -1.386933       -1.678828        4.848010       -1.686057       -0.007229
         1.000000       41.000000       -1.386916       -1.678375        4.847447       -1.686104       -0.007730
         1.000000       42.000000       -0.707141       -1.229384        4.295929       -1.229384        0.000000
         1.000000       43.000000       -0.707114       -1.226785        4.293431       -1.226785        0.000000
         1.000000       44.000000       -0.707108       -1.232326        4.294551       -1.232326        0.000000
         1.000000       45.000000       -0.707104       -1.232829        4.295039       -1.232829        0.000000
         1.000000       46.000000        0.785239        0.314240        3.599057        0.314240        0.000000
         1.000000       47.000000        0.785253        0.313223        3.604679        0.313223        0.000000
         1.000000       48.000000        0.785262        0.314108        3.598919        0.314108        0.000000
         1.000000       49.000000        0.785276        0.312200        3.604465        0.312200        0.000000
         1.000000       50.000000        0.785284        0.312612        3.604775        0.312612        0.000000
         1.000000       51.000000        0.785291        0.313854        3.598572        0.313854        0.000000
         1.000000       52.000000        0.785299        0.313739        3.598637        0.313739        0.000000
         1.000000       53.000000        0.785317        0.312456        3.604579        0.312456        0.000000
         1.000000       54.000000        0.785321        0.312464        3.604592        0.312464        0.000000
         1.000000       55.000000        0.785340        0.313601        3.598321        0.313601        0.000000
         1.000000       56.000000        0.785341        0.313789        3.598470        0.313789        0.000000
         1.000000       57.000000        0.785347        0.313760        3.598621        0.313760        0.000000
         1.000000       58.000000        2.410424        1.875914        2.478864        1.875914        0.000000
